"SUID","% Associated Genes","% Common Gene","%Genes Cluster #","All Associated Genes","Associated Genes Found","CEREBRAL_DOWNSTRAM_INFO","CEREBRAL_DOWNSTRAM_INFO_ALL","CEREBRAL_LOCALIZATION_INFO","CEREBRAL_LOCALIZATION_INFO_ALL","Cluster","Common Genes","ENSEMBL_GENE_ID","GOGroups","GOID","GOLevels","GOTerm","Group PValue","Group PValue Corrected with Bonferroni step down","name","Nr. Genes","Ontology Source","OverViewTerm","selected","shared name","Term PValue","Term PValue Corrected with Bonferroni step down","UniProtKB_AC","UNIQUE_ID"
"24128",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000125730","KEGG:05322","C3","","C3","","","718",,"","ASSOCIATED_GENE","false","718",,,"[B4DR57, P01024, V9HWA9]","718"
"24129",,,,"","","","","1.Extracellular","1.Extracellular","","","ENSG00000182326","KEGG:05322","C1S","","C1S","","","716",,"","ASSOCIATED_GENE","false","716",,,"[F8WCZ6, P09871]","716"
"24130",,,,"","","","","1.Extracellular","1.Extracellular","","","ENSG00000159403","KEGG:05322","C1R","","C1R","","","715",,"","ASSOCIATED_GENE","false","715",,,"[P00736]","715"
"24131",,,,"","","","","1.Extracellular","1.Extracellular","","","ENSG00000173369","KEGG:05322","C1QB","","C1QB","","","713",,"","ASSOCIATED_GENE","false","713",,,"[A0A024RAB9, P02746]","713"
"24132",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000138385","KEGG:05322","SSB","","SSB","","","6741",,"","ASSOCIATED_GENE","false","6741",,,"[P05455]","6741"
"24133",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000132109","KEGG:05322","TRIM21","","TRIM21","","","6737",,"","ASSOCIATED_GENE","false","6737",,,"[P19474]","6737"
"24134",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000125835","KEGG:05322","SNRPB","","SNRPB","","","6628",,"","ASSOCIATED_GENE","false","6628",,,"[P14678, Q66K91]","6628"
"24135","12.030075073242188",,,"[ACTN1, ACTN4, C1QA, C1QB, C1QC, C1R, C1S, C2, C3, C4A, C4B, C5, C6, C7, C8A, C8B, C8G, C9, CD28, CD40, CD40LG, CD80, CD86, CTSG, ELANE, FCGR1A, FCGR2A, FCGR3A, FCGR3B, GRIN2A, GRIN2B, H2AFB1, H2AFB2, H2AFB3, H2AFJ, H2AFV, H2AFX, H2AFY, H2AFY2, H2AFZ, H2BFM, H2BFWT, H3F3A, H3F3B, H3F3C, HIST1H2AA, HIST1H2AB, HIST1H2AC, HIST1H2AD, HIST1H2AE, HIST1H2AG, HIST1H2AH, HIST1H2AI, HIST1H2AJ, HIST1H2AK, HIST1H2AL, HIST1H2AM, HIST1H2BA, HIST1H2BB, HIST1H2BC, HIST1H2BD, HIST1H2BE, HIST1H2BF, HIST1H2BG, HIST1H2BH, HIST1H2BI, HIST1H2BJ, HIST1H2BK, HIST1H2BL, HIST1H2BM, HIST1H2BN, HIST1H2BO, HIST1H3A, HIST1H3B, HIST1H3C, HIST1H3D, HIST1H3E, HIST1H3F, HIST1H3G, HIST1H3H, HIST1H3I, HIST1H3J, HIST1H4A, HIST1H4B, HIST1H4C, HIST1H4D, HIST1H4E, HIST1H4F, HIST1H4G, HIST1H4H, HIST1H4I, HIST1H4J, HIST1H4K, HIST1H4L, HIST2H2AA3, HIST2H2AA4, HIST2H2AB, HIST2H2AC, HIST2H2BE, HIST2H2BF, HIST2H3A, HIST2H3C, HIST2H3D, HIST2H4A, HIST2H4B, HIST3H2A, HIST3H2BB, HIST3H3, HIST4H4, HLA-DMA, HLA-DMB, HLA-DOA, HLA-DOB, HLA-DPA1, HLA-DPB1, HLA-DQA1, HLA-DQA2, HLA-DQB1, HLA-DRA, HLA-DRB1, HLA-DRB3, HLA-DRB4, HLA-DRB5, IFNG, IL10, LOC102723407, SNRPB, SNRPD1, SNRPD3, SSB, TNF, TRIM21, TROVE2]","[ACTN1, C1QB, C1R, C1S, C3, C6, C7, C8B, C9, CD40, GRIN2A, GRIN2B, SNRPB, SSB, TNF, TRIM21]","","","","","","","","[Group03]","KEGG:05322","[-1]","Systemic lupus erythematosus","{Group03=9.094492362321744E-8}","{Group03=1.000394159855392E-6}","Systemic%20lupus%20erythematosus","16","KEGG_04.09.2018","TRUE","false","Systemic%20lupus%20erythematosus","9.094492362321744E-8","2.419134968377584E-5","","KEGG:05322"
"24136",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000143294","KEGG:05211","PRCC","","PRCC","","","5546",,"","ASSOCIATED_GENE","false","5546",,,"[A0A0S2Z456, A0A0S2Z470, Q92733, Q96FT4]","5546"
"24137","55.07246398925781",,,"[AKT1, AKT2, AKT3, ARAF, ARNT, ARNT2, BAD, BRAF, BUB1B-PAK6, CDC42, CDKN1A, CREBBP, CRK, CRKL, CUL2, EGLN1, EGLN2, EGLN3, ELOB, ELOC, EP300, EPAS1, ETS1, FH, FLCN, GAB1, GRB2, HGF, HIF1A, HRAS, JUN, KRAS, MAP2K1, MAP2K2, MAPK1, MAPK3, MET, NRAS, PAK1, PAK2, PAK3, PAK4, PAK5, PAK6, PDGFB, PIK3CA, PIK3CB, PIK3CD, PIK3R1, PIK3R2, PIK3R3, PRCC, PTPN11, RAC1, RAF1, RAP1A, RAP1B, RAPGEF1, RBX1, SLC2A1, SOS1, SOS2, TFE3, TGFA, TGFB1, TGFB2, TGFB3, VEGFA, VHL]","[AKT3, ARNT2, BAD, BRAF, CREBBP, CUL2, EGLN1, EGLN2, EP300, EPAS1, ETS1, FH, GRB2, HIF1A, HRAS, KRAS, MAP2K2, NRAS, PAK1, PAK2, PAK4, PAK6, PIK3CA, PIK3CB, PIK3R1, PIK3R2, PRCC, PTPN11, RAC1, RAF1, RAP1A, RAPGEF1, RBX1, SLC2A1, SOS1, SOS2, TGFA, TGFB2]","","","","","","","","[Group02]","KEGG:05211","[-1]","Renal cell carcinoma","{Group02=7.975271385407274E-5}","{Group02=2.3925814156221822E-4}","Renal%20cell%20carcinoma","38","KEGG_04.09.2018","TRUE","false","Renal%20cell%20carcinoma","7.975271385407274E-5","0.01977867303581004","","KEGG:05211"
"24138",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000164045","KEGG:05206","CDC25A","","CDC25A","","","993",,"","ASSOCIATED_GENE","false","993",,,"[A0A024R2R6, A0A024R2S4, D8KXX0, K7N7S0, P30304]","993"
"24139",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000169554","KEGG:05206","ZEB2","","ZEB2","","","9839",,"","ASSOCIATED_GENE","false","9839",,,"[O60315]","9839"
"24140",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000068024","KEGG:05206","HDAC4","","HDAC4","","","9759",,"","ASSOCIATED_GENE","false","9759",,,"[P56524]","9759"
"24141",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000113328","KEGG:05206","CCNG1","","CCNG1","","","900",,"","ASSOCIATED_GENE","false","900",,,"[P51959]","900"
"24142",,,,"","","Transcription Factor Complex","Transcription Factor Complex","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000073282","KEGG:05206","TP63","","TP63","","","8626",,"","ASSOCIATED_GENE","false","8626",,,"[A0A0S2Z4N5, A0A0S2Z4N6, A0A141PNN3, A0A141PNN4, B7Z8X6, C9D7D0, Q9H3D4]","8626"
"24143",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane","","","ENSG00000122707","KEGG:05206","RECK","","RECK","","","8434",,"","ASSOCIATED_GENE","false","8434",,,"[A8K9D8, O95980, Q6P9E2]","8434"
"24144",,,,"","","","","1.Extracellular","1.Extracellular, 3.Intra Cellular","","","ENSG00000100234","KEGG:05206","TIMP3","","TIMP3","","","7078",,"","ASSOCIATED_GENE","false","7078",,,"[P35625]","7078"
"24145",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane","","","ENSG00000149418","KEGG:05206","ST14","","ST14","","","6768",,"","ASSOCIATED_GENE","false","6768",,,"[Q9Y5Y6]","6768"
"24146",,,,"","","Transcription Factor Complex","Transcription Factor Complex","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000124766","KEGG:05206","SOX4","","SOX4","","","6659",,"","ASSOCIATED_GENE","false","6659",,,"[Q06945]","6659"
"24147",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane","","","ENSG00000139514","KEGG:05206","SLC7A1","","SLC7A1","","","6541",,"","ASSOCIATED_GENE","false","6541",,,"[A0A024RDQ9, P30825]","6541"
"24148",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000171132","KEGG:05206","PRKCE","","PRKCE","","","5581",,"","ASSOCIATED_GENE","false","5581",,,"[L7RTI5, Q02156]","5581"
"24149",,,,"","","","","1.Extracellular","1.Extracellular, 3.Intra Cellular","","","ENSG00000206075","KEGG:05206","SERPINB5","","SERPINB5","","","5268",,"","ASSOCIATED_GENE","false","5268",,,"[A0A024R2B6, P36952]","5268"
"24150",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000149311","KEGG:05206","ATM","","ATM","","","472",,"","ASSOCIATED_GENE","false","472",,,"[A0A024R3C7, Q13315]","472"
"24151",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000156103","KEGG:05206","MMP16","","MMP16","","","4325",,"","ASSOCIATED_GENE","false","4325",,,"[P51512]","4325"
"24152",,,,"","","","","1.Extracellular","1.Extracellular, 2.Plasma Membrane, 3.Intra Cellular","","","ENSG00000277443","KEGG:05206","MARCKS","","MARCKS","","","4082",,"","ASSOCIATED_GENE","false","4082",,,"[P29966, Q6NVI1]","4082"
"24153",,,,"","","","","3.Intra Cellular","3.Intra Cellular","","","ENSG00000150593","KEGG:05206","PDCD4","","PDCD4","","","27250",,"","ASSOCIATED_GENE","false","27250",,,"[B4DKX4, Q53EL6]","27250"
"24154",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000114861","KEGG:05206","FOXP1","","FOXP1","","","27086",,"","ASSOCIATED_GENE","false","27086",,,"[A0A0B4J2F3, Q548T7, Q8N2P0, Q8TEA2, Q9H334]","27086"
"24155",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000169946","KEGG:05206","ZFPM2","","ZFPM2","","","23414",,"","ASSOCIATED_GENE","false","23414",,,"[Q8WW38, Q9NPQ0]","23414"
"24156",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000106462","KEGG:05206","EZH2","","EZH2","","","2146",,"","ASSOCIATED_GENE","false","2146",,,"[A0A090N8E9, Q15910, S4S3R8]","2146"
"24157",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000088305","KEGG:05206","DNMT3B","","DNMT3B","","","1789",,"","ASSOCIATED_GENE","false","1789",,,"[Q9UBC3]","1789"
"24158",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000119772","KEGG:05206","DNMT3A","","DNMT3A","","","1788",,"","ASSOCIATED_GENE","false","1788",,,"[A0A0C4DG02, F8WE91, Q59HC6, Q9Y6K1]","1788"
"24159",,,,"","","","","3.Intra Cellular","3.Intra Cellular, 5.Nucleus","","","ENSG00000130816","KEGG:05206","DNMT1","","DNMT1","","","1786",,"","ASSOCIATED_GENE","false","1786",,,"[I6L9H2, P26358, Q59FP7]","1786"
"24160",,,,"","","","","2.Plasma Membrane","2.Plasma Membrane, 3.Intra Cellular, 5.Nucleus","","","ENSG00000019186","KEGG:05206","CYP24A1","","CYP24A1","","","1591",,"","ASSOCIATED_GENE","false","1591",,,"[Q07973]","1591"
