type,name,median_tau_score,description,ts_pc,belongs_to,id,pc,target
CP,hydrocortisone,-84.53,"corticosteroid agonist, glucocorticoid receptor agonist, immunosuppressant, interleukin receptor antagonist","1.27, 0.64",Glucocorticoid receptor agonist,BRD-A25143711,"10.00, 10.00","ANXA1, NOS2, NR3C1, NR3C2"
CP,orciprenaline,-84.75,adrenergic receptor agonist,"1.14, 0.48",Beta-adrenergic receptor agonist,BRD-A07780951,"11.11, 0.00",ADRB2
CP,BRD-K06956503,-84.91,glucosylceramidase inhibitor,"1.31, 0.48",,BRD-K06956503,"0.00, 0.00",GBA
CP,fenretinide,-84.99,"apoptosis stimulant, retinoid receptor agonist, RAR agonist","0.78, 0.20",,BRD-K89085489,"10.00, 0.00","CYP2C8, CYP3A5, RARA, RARG"
CP,avrainvillamide-analog-3,-85.16,nucleophosmin inhibitor,"0.43, 0.32",Nucleophosmin inhibitor,BRD-K39569857,"11.11, 11.11",NPM1
CP,DMBI,-85.17,"platelet-derived growth factor receptor (PDGFR) inhibitor, tyrosine kinase inhibitor, vascular endothelial growth factor receptor (VEGFR) inhibitor","0.66, 0.17",,BRD-K96084870,"20.00, 0.00",PDGFRB
CP,L-BSO,-85.18,¦Ã-glutamylcysteine synthetase inhibitor,"0.60, 0.16",,BRD-A47706533,"0.00, 0.00",GCLM
CP,ritonavir,-85.24,"HIV protease inhibitor, cytochrome P450 inhibitor","0.77, 0.18",HIV protease inhibitor,BRD-K51485625,"0.00, 0.00","CYP3A4, CYP1A2, CYP2B6, CYP2C19, CYP3A5, CYP3A7"
CP,loratadine,-85.44,histamine receptor antagonist,"1.14, 0.22",HRH1 antagonist,BRD-K82795137,"0.00, 0.00","HRH1, CYP2C19, CYP3A5"
CP,liothyronine,-85.68,thyroid hormone function stimulant,"0.84, 0.28",,BRD-K89152108,"0.00, 0.00","THRA, THRB"
CP,BRD-A80383043,77.95,"glutamate receptor agonist, glutamate receptor antagonist","2.20, 0.90",,BRD-A80383043,"16.67, 0.00","GRM1, GRM2"
CP,ellipticine,77.85,"topoisomerase inhibitor, DNA intercalating drug","1.99, 0.44",Topoisomerase inhibitor,BRD-K85985071,"10.00, 10.00","TOP2A, TOP2B"
CP,rifampicin,77.56,"DNA directed RNA polymerase inhibitor, enzyme inducer","0.55, 0.14",,BRD-K01507359,"10.00, 10.00","NR1I2, ABCB1, CYP2B6, CYP2C19, CYP2C8, CYP3A4, CYP3A5, SLCO1A2, SLCO1B1, SLCO1B3"
CP,dihydrodeoxygedunin,77.45,growth factor receptor activator,"1.14, 0.33",,BRD-A02713983,"11.11, 11.11",NTRK2
CP,panobinostat,77.26,"HDAC inhibitor, apoptosis stimulant, cell cycle inhibitor","1.89, 0.52",HDAC inhibitor,BRD-K02130563,"0.00, 0.00","HDAC1, HDAC2, HDAC3, HDAC4, HDAC6, HDAC7, HDAC8, HDAC9"
CP,BX-912,77.23,"AKT inhibitor, phosphoinositide dependent kinase inhibitor, pyruvate dehydrogenase kinase inhibitor","0.92, 0.26",,BRD-K49669041,"0.00, 0.00","PDPK1, AKT2, CDK2, CHEK1, GSK3B, KDR, PDK1"
CP,GSK-1059615,77.15,"PI3K inhibitor, mTOR inhibitor","1.64, 0.68","MTOR inhibitor, PI3K inhibitor",BRD-K06750613,"0.00, 0.00","PIK3CA, PIK3CG"
CP,NVP-BEZ235,76.86,"mTOR inhibitor, PI3K inhibitor, protein kinase inhibitor","2.02, 0.53","MTOR inhibitor, PI3K inhibitor",BRD-K12184916,"20.00, 10.00","MTOR, PIK3CA, PIK3CG, PIK3CD, ATR, PIK3CB"
CP,RO-08-2750,76.65,"nerve growth factor receptor ligand, NGF binding inhibitor","1.11, 0.30",,BRD-K00486786,"10.00, 10.00","NGFR, NGF"
CP,caffeic-acid,76.49,"lipoxygenase inhibitor, HIV integrase inhibitor, NFkB pathway inhibitor, nitric oxide production inhibitor, PPAR receptor modulator, tumor necrosis factor production inhibitor","1.11, 0.36",,BRD-K09900591,"11.11, 0.00","ALOX5, MIF, RELA, TNF"
CP,1-phenylbiguanide,-82.15,serotonin receptor agonist,"1.35, 0.42",,BRD-K31491153,"0.00, 0.00","HTR3A, HTR3B"
CP,teniposide,-82.65,"topoisomerase inhibitor, DNA inhibitor, DNA repair enzyme inhibitor, mitotic inhibitor","2.61, 0.64",Topoisomerase inhibitor,BRD-A35588707,"0.00, 0.00","TOP2A, CYP3A5"
CP,CS-1657,-82.84,PARP inhibitor,"0.98, 0.32",,BRD-K50214219,"0.00, 0.00",PARP1
CP,biotin,-83.42,vitamin cofactor for many metabolic reactions,"1.50, 0.53",,BRD-K89210380,"0.00, 0.00","ACACA, ACACB, HLCS, MCCC1, MCCC2, PC, PCCA, PCCB, SLC5A6"
CP,purvalanol-b,-83.66,tyrosine kinase inhibitor,"1.24, 0.31",,BRD-K41564320,"11.11, 11.11","CDK2, CDK4, MAPK1, MAPK3, CDK5, SRPK2"
CP,SR-59230A,-83.69,adrenergic receptor antagonist,"0.66, 0.16",,BRD-K35430135,"10.00, 10.00","ADRB3, ADRB1, ADRB2"
CP,albendazole,-83.74,"tubulin inhibitor, acetylcholinesterase inhibitor, microtubule inhibitor","0.83, 0.44",Tubulin inhibitor,BRD-K79131256,"0.00, 0.00","CYP1A2, CYP2J2, TUBA1A, TUBB, TUBB4B"
CP,serdemetan,-84.13,"MDM inhibitor, angiogenesis stimulant, apoptosis stimulant, oncogene inhibitor","1.31, 0.38",,BRD-K60219430,"0.00, 0.00",MDM2
CP,irinotecan,-84.14,topoisomerase inhibitor,"1.91, 0.52",Topoisomerase inhibitor,BRD-K08547377,"0.00, 0.00","TOP1, CYP3A5, TOP1MT"
CP,baeomycesic-acid,-84.16,lipoxygenase inhibitor,"2.02, 0.40",,BRD-K40742111,"20.00, 20.00",
CP,cycloheximide,76.27,"glycogen synthase kinase inhibitor, protein synthesis inhibitor","2.40, 0.60",Protein synthesis inhibitor,BRD-A62184259,"10.00, 10.00","GSK3B, RPL3"
CP,cycloheximide,76.24,"glycogen synthase kinase inhibitor, protein synthesis inhibitor","2.15, 0.60",,BRD-K36055864,"0.00, 0.00","GSK3B, RPL3"
CP,H-9,76.23,"cAMP dependent protein kinase inhibitor, PKA inhibitor","0.55, 0.11",PKA inhibitor,BRD-K70577657,"30.00, 20.00",PRKACA
CP,ceramide,76.2,"nitric oxide production inhibitor, phosphoenolpyruvate carboxylase activator, serine/threonine protein phosphatase activator","1.00, 0.25",,BRD-K41707108,"11.11, 0.00",
CP,ketoprofen,76.16,cyclooxygenase inhibitor,"1.07, 0.39",,BRD-A97739905,"10.00, 10.00","PTGS2, PTGS1, CXCR1, SLC5A8"
CP,ENMD-2076,76.05,"Aurora kinase inhibitor, FLT3 inhibitor, VEGFR inhibitor, angiogenesis inhibitor, colony stimulating factor receptor antagonist, ephrin receptor inhibitor, FGFR inhibitor, KIT inhibitor, PDGFR tyrosine kinase receptor inhibitor, src inhibitor","1.09, 0.32",Aurora kinase inhibitor,BRD-K68488863,"11.11, 11.11","AURKA, FLT3, KDR, PDGFRA, SRC, CSF1R, EPHA1, FGFR1, FGFR2, FGFR3, FLT4, KIT, PTK2"
CP,nateglinide,76.03,"insulin secretagogue, ATP-sensitive potassium channel antagonist, meglitinide, sulphonylurea receptor activator","1.57, 0.31",,BRD-K44353683,"25.00, 12.50","ABCC8, KCNJ11, CYP3A4, INS, KCNJ10, PPARG"
CP,flunarizine,76.01,"calcium channel blocker, T-type calcium channel blocker","0.95, 0.27",,BRD-K12184470,"10.00, 10.00","CACNA1G, CACNA1H, CACNA1I, CALM1, CYP2J2, HRH1"
CP,o-3M3FBS,75.52,phospholipase activator,"0.64, 0.14",,BRD-K46384212,"10.00, 10.00",
CP,dacinostat,75.52,HDAC inhibitor,"1.48, 0.63",HDAC inhibitor,BRD-K56957086,"0.00, 0.00","HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
CP,warfarin,-79.68,"cytochrome P450 inhibitor, vitamin inhibitor, vitamin K epoxide reductase inhibitor","1.11, 0.39",,BRD-K25991148,"0.00, 0.00","VKORC1, CYP2C19, CYP2C8, CYP4F2"
CP,CDK1-5-inhibitor,-79.76,CDK inhibitor,"0.94, 0.28","CDK inhibitor, Glycogen synthase kinase inhibitor",BRD-K87932577,"0.00, 0.00","CDK1, CDK5, GSK3B"
CP,BRD-K65285700,-80.4,cannabinoid receptor agonist,"0.86, 0.26",Cannabinoid receptor agonist,BRD-K65285700,"0.00, 0.00",CNR2
CP,erbstatin-analog,-80.46,"EGFR inhibitor, tyrosine kinase inhibitor","1.30, 0.33",,BRD-K35573744,"0.00, 0.00",EGFR
CP,BRD-A16820783,-80.95,phosphodiesterase inhibitor,"1.20, 0.42",,BRD-A16820783,"0.00, 0.00",
CP,dexamethasone,-81.08,"glucocorticoid receptor agonist, corticosteroid agonist, immunosuppressant","1.30, 0.85",Glucocorticoid receptor agonist,BRD-A35108200,"0.00, 0.00","ANXA1, CYP3A4, CYP3A5, NOS2, NR0B1, NR3C1, NR3C2"
CP,tacrolimus,-81.43,"calcineurin inhibitor, FK506-binding protein inhibitor, immunosuppressant, insulin expression inhibitor, interleukin receptor antagonist, macrolide calcineurin inhibitor, rotamase inhibitor, T cell inhibitor","1.06, 0.14",,BRD-K65261396,"0.00, 0.00","FKBP1A, CYP3A5, CYP3A7"
CP,glycodeoxycholic-acid,-81.54,apoptosis activator,"0.91, 0.24",,BRD-A73859745,"22.22, 11.11",
CP,flucytosine,-81.74,"pyrimidine analog, inhibits fungal DNA synthesis","0.98, 0.39",,BRD-K82143716,"0.00, 0.00",DNMT1
CP,estradiol,-81.81,estrogen receptor agonist,"0.77, 0.14",,BRD-A23226398,"0.00, 0.00","ESR1, ESR2, NR1I2, CYP2B6, CYP2C19, CYP2C8, CYP2E1, CYP3A5, CYP3A7, GPER1, KCNMA1"
CP,HA-1004,75.46,calcium channel blocker,"0.84, 0.19",,BRD-K05434375,"20.00, 0.00",
CP,GTP-14564,75.45,"FLT3 inhibitor, tyrosine kinase receptor inhibitor","0.93, 0.17",,BRD-K16664969,"10.00, 0.00","FLT3, CSF1R, KIT, PDGFRB"
CP,scoulerine,74.94,"adrenergic receptor antagonist, GABA receptor antagonist, serotonin receptor antagonist","0.44, 0.09",,BRD-K62609077,"0.00, 0.00","ADRA1D, ADRA2A, GABRA1"
CP,RO-90-7501,74.9,"amyloid precursor protein inhibitor, beta amyloid aggregation inhibitor","1.18, 0.27",,BRD-K58299615,"22.22, 11.11",APP
CP,gamma-homolinolenic-acid,74.85,"cholesterol inhibitor, platelet aggregation inhibitor, prostaglandin G/H synthase 1, prostanoid receptor stimulant","1.63, 0.60",,BRD-K20152659,"11.11, 0.00","PTGS1, PTGS2"
CP,MRS-1334,74.83,adenosine receptor antagonist,"0.56, 0.14",,BRD-A06784547,"10.00, 10.00",
CP,olaparib,74.57,"PARP inhibitor, DNA repair enzyme inhibitor","0.59, 0.13",PARP inhibitor,BRD-K02113016,"30.00, 20.00","PARP1, PARP2, PARP3"
CP,vincristine,74.56,"tubulin inhibitor, microtubule inhibitor, microtubule polymerization inhibitor, tubulin polymerisation inhibitor, vinca alkaloid","1.67, 0.57",,BRD-A76528577,"30.00, 20.00","TUBB, TUBA4A"
